測った時の日付,今の時間帯,計測値(その１),"計測地(地名）
oo区やoo市だけで大丈夫です！","1分あたりの脈拍数(数字のみでお願いします）
建物や車、電車も中ではなく外にいる時の脈拍をお願いします！"
2024/01/12,6~7時,埼玉県,久喜市,72
2024/01/12,8~9時,埼玉県,久喜市,72
2024/01/12,9~10時,埼玉県,久喜市,69
2024/01/12,11~12時,埼玉県,久喜市,72
2024/01/12,12~13時,埼玉県,久喜市,66
2024/01/12,13~14時,埼玉県,久喜市,72
2024/01/12,14~15時,埼玉県,久喜市,69
2024/01/12,18~19時,埼玉県,久喜市,66
2024/01/12,19~20時,埼玉県,久喜市,72
2024/01/12,20~21時,埼玉県,久喜市,69
2024/01/12,21~22時,埼玉県,久喜市,63
2024/01/12,22~23時,埼玉県,久喜市,69
2024/01/12,23~24時,埼玉県,久喜市,63
2024/01/13,13~14時,埼玉県,久喜市,69
2024/01/13,6~7時,埼玉県,久喜市,63
2024/01/13,9~10時,埼玉県,久喜市,72
2024/01/13,12~13時,埼玉県,久喜市,66
2024/01/14,19~20時,東京都,品川区,96
2024/01/14,20~21時,埼玉県,久喜市,75
2024/01/14,21~22時,埼玉県,久喜市,78
2024/01/14,7~8時,埼玉県,久喜市,75
2024/01/15,17~18時,埼玉県,杉戸町,84
2024/01/15,21~22時,埼玉県,久喜市,63
2024/01/15,22~23時,埼玉県,久喜市,59
2024/01/15,8~9時,埼玉県,久喜市,75
2024/01/15,9~10時,埼玉県,久喜市,69
2024/01/15,10~11時,埼玉県,久喜市,69
2024/01/15,11~12時,埼玉県,久喜市,66
2024/01/15,12~13時,埼玉県,久喜市,72